date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:12	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Nov%202021%2000:34:44%20GMT	http://themelooks.biz/robots.txt		(from )
21:35:14	26651/26651	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Apr%202021%2013:22:58%20GMT	http://themelooks.biz/demo/beautain/html/preview/	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/index.html	(from )
21:35:15	1962/1962	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Apr%202021%2013:22:10%20GMT	http://themelooks.biz/demo/beautain/html/preview/favicon.png	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/favicon.png	(from http://themelooks.biz/demo/beautain/html/preview/)
21:35:16	58935/58935	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2013:22:10%20GMT	http://themelooks.biz/demo/beautain/html/preview/assets/css/all.min.css	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/assets/css/all.min.css	(from http://themelooks.biz/demo/beautain/html/preview/)
21:35:17	153113/153113	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2013:22:10%20GMT	http://themelooks.biz/demo/beautain/html/preview/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/assets/css/bootstrap.min.css	(from http://themelooks.biz/demo/beautain/html/preview/)
21:35:18	3352/3352	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2013:22:12%20GMT	http://themelooks.biz/demo/beautain/html/preview/assets/plugins/owlcarousel/owl.carousel.min.css	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/assets/plugins/owlcarousel/owl.carousel.min.css	(from http://themelooks.biz/demo/beautain/html/preview/)
21:35:19	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2013:22:12%20GMT	http://themelooks.biz/demo/beautain/html/preview/assets/plugins/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/assets/plugins/magnific-popup/magnific-popup.css	(from http://themelooks.biz/demo/beautain/html/preview/)
21:35:21	125429/125429	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2013:24:32%20GMT	http://themelooks.biz/demo/beautain/html/preview/assets/css/style.css	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/assets/css/style.css	(from http://themelooks.biz/demo/beautain/html/preview/)
21:35:22	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2013:22:10%20GMT	http://themelooks.biz/demo/beautain/html/preview/assets/css/custom.css	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/assets/css/custom.css	(from http://themelooks.biz/demo/beautain/html/preview/)
21:35:23	26651/26651	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Apr%202021%2013:22:58%20GMT	http://themelooks.biz/demo/beautain/html/preview/index.html	C:/My%20Web%20Sites/Beautain/themelooks.biz/demo/beautain/html/preview/index-2.html	(from http://themelooks.biz/demo/beautain/html/preview/)
